label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
0,0.05,0.006633,0.05,0,0.021594,0.008,0.15,0.04,0.362,0.1,0.2,0,0.04,15,1484,2032,421036,664216,664522,666759,676735,677367,677738,733335,737432,1148460,1150514,1150756,1184372,1528982,1529013,1533925,1536019,1556876,1934144,1934164,1936312,2022803,2024738
0,0.1,0.004975,0.44,0.02,0.001594,0.016,0.02,0.04,0.008,0.1,0.1,0,0.08,15,1490,2042,415618,664216,664524,666676,676733,677367,678156,732765,737443,1147992,1150512,1150579,1163048,1528983,1529008,1533925,1536020,1536034,1934144,1934164,1934195,2022803,2022906
0,0.1,0.004975,0.01,0.28,0.011984,0.178,0.04,0.04,0.49,0.1,0.3,0.3,0.9,37,1522,2034,415607,664216,664522,664925,676733,677367,677371,732554,737435,1147748,1150513,1151267,1163039,1528988,1529304,1533924,1536018,1536025,1934145,1934164,1934181,2022801,2022897
0,0,1,0,0,0.068625,0,0,0,0,0,0,0,0,15,1487,2032,415832,664216,664524,664614,676733,677367,677372,732086,737432,1147333,1150513,1150556,1163036,1528989,1529022,1533924,1536018,1536022,1934144,1934164,1934185,2022801,2022897
0,0.15,0.003317,0,0,0.000031,0,0.03,0,0,0.1,0.1,0,0,17,1504,2032,415612,664216,664525,665982,676733,677367,678333,732804,737472,1148026,1150514,1150892,1163052,1528989,1529288,1533924,1536018,1536038,1934144,1934163,1934180,2022801,2022897
0,0,0.003317,0,0,0.200375,0,0,0,0.012,0,0,0,0,14,1596,2100,415701,664218,664526,665594,676733,677367,677371,733020,737505,1148200,1150513,1151028,1163119,1528986,1529153,1533924,1536018,1536100,1934148,1934167,1934244,2022801,2022897
1,0.05,0.011609,0.02,0,0,0,0.01,0,0,0.1,0.1,0,0,15,1487,2032,415665,664225,664525,664550,676735,677367,677392,732316,737432,1147334,1150513,1150556,1163036,1528982,1529022,1533924,1536018,1536022,1934144,1934163,1934185,2022801,2022897
0,0,0.063018,0,0.02,0.527141,0.042,0.01,0.04,0.006,0,0.1,0,0.02,14,1601,2097,415695,664216,664521,664613,676733,677367,677382,732086,737502,1147333,1150513,1150964,1163115,1528984,1529327,1533924,1536018,1536096,1934144,1934163,1934264,2022801,2022897
0,0,0.008292,1,0,0.887031,0,0,0.1,0.13,0,0,0,0.04,14,1492,2517,415859,664216,664522,665566,676733,677368,677371,732250,737659,1147517,1150512,1151981,1163268,1528986,1529666,1533925,1536020,1536242,1934144,1934164,1934275,2022804,2022968
0,0,0.089552,0.84,0.08,0.056766,0.052,0.01,0.08,0.016,0,0.1,0,0.08,16,1484,2032,416353,664221,664525,667532,676733,677367,680711,732863,737432,1148077,1150514,1151676,1165560,1528985,1529280,1533925,1536019,1573633,1934144,1934170,1934619,2022803,2023434
